Data
Capsakid (Fire Stone) Scovillain
Cetoddle (Ice Stone) Cetitan
Crabrawler (Ice Stone) Crabominable
Eevee (Fire Stone) Flareon
Eevee (Ice Stone) Glaceon
Eevee (Leaf Stone) Leafeon
Eevee (Thunder Stone) Jolteon
Eevee (Water Stone) Vaporeon
Floette (Shiny Stone) Florges
Growlithe (Fire Stone) Arcanine
Jigglypuff (Moon Stone) Wigglytuff
Kirlia (Dawn Stone) Gallade
Magneton (Thunder Stone) Magnezone
Misdreavus (Dusk Stone) Mismagius
Murkrow (Dusk Stone) Honchkrow
Petilil (Sun Stone) Lilligant
Pikachu (Thunder Stone) Raichu
Shellder (Water Stone) Cloyster
"Snorunt (Female, Dawn Stone) Froslass"
Sunkern (Sun Stone) Sunflora
Tadbulb (Thunder Stone) Bellibolt
